Index,Name,Type,Category,Contest,PP,Power,Accuracy,Generation,Implementation,Effect
82,Dragon Rage,Dragon,Special,Cool,10,None,100,1,N,SetDamage
83,Fire Spin,Fire,Special,Beautiful,15,35,None,1,T,Trap
84,Thunder Shock,Electric,Special,Cool,30,40,100,1,YNS,PRZ10
85,Thunderbolt,Electric,Special,Cool,15,90,100,1,YNS,PRZ10
86,Thunder Wave,Electric,Status,Cool,20,None,None,1,Y,PRZ Inflict
87,Thunder,Electric,Special,Cool,10,110,70,1,YNS,PRZ30
88,Rock Throw,Rock,Physical,Tough,15,50,90,1,Y,N/A
89,Earthquake,Ground,Physical,Tough,10,100,100,1,Y,N/A
90,Fissure,Ground,Physical,Tough,5,None,None,1,NN,OHKO
91,Dig,Ground,Physical,Tough,10,80,100,1,T,2Turn
92,Toxic,Poison,Status,Clever,10,None,None,1,Y,TOX Inflict
93,Confusion,Psychic,Special,Clever,25,50,100,1,YNS,Confuse10
94,Psychic,Psychic,Special,Clever,10,90,100,1,Y,SpdefDrop10
95,Hypnosis,Psychic,Status,Clever,20,None,60,1,Y,SLP Inflict
96,Meditate,Psychic,Status,Beautiful,40,None,None,1,Y,ATKboost
97,Agility,Psychic,Status,Cool,30,None,None,1,Y,SPEEDboost2
98,Quick Attack,Normal,Physical,Cool,30,40,100,1,T,Priority1
99,Rage,Normal,Physical,Tough,20,20,100,1,T,Consecutive
100,Teleport,Psychic,Status,Cool,20,None,None,1,NN,Switchout
101,Night Shade,Ghost,Special,Clever,15,None,100,1,N,SetDamage
102,Mimic,Normal,Status,Cute,10,None,None,1,NN,Mimic
103,Screech,Normal,Status,Clever,40,None,85,1,Y,DEFdrop2
104,Double Team,Normal,Status,Cool,15,None,None,1,N,EvasiveBoost
105,Recover,Normal,Status,Clever,10,None,None,1,N,HPboost
106,Harden,Normal,Status,Tough,30,None,None,1,Y,DEFboost
107,Minimize,Normal,Status,Cute,10,None,None,1,N,EvasiveBoost
108,Smokescreen,Normal,Status,Clever,20,None,100,1,N,ACCdrop
109,Confuse Ray,Ghost,Status,Clever,10,None,100,1,N,Confuse Inflict
110,Withdraw,Water,Status,Cute,40,None,None,1,Y,DEFboost
111,Defense Curl,Normal,Status,Cute,40,None,None,1,Y,DEFboost
112,Barrier,Psychic,Status,Cool,20,None,None,1,Y,DEFboost2
113,Light Screen,Psychic,Status,Beautiful,30,None,None,1,NN,Screen
114,Haze,Ice,Status,Beautiful,30,None,None,1,N,StatReset
115,Reflect,Psychic,Status,Clever,20,None,None,1,NN,Screen
116,Focus Energy,Normal,Status,Cool,30,None,None,1,Y,CritBoost
117,Bide,Normal,Physical,Tough,10,None,None,1,NN,DoubleDamage
118,Metronome,Normal,Status,Cute,10,None,None,1,N,RandomMove
119,Mirror Move,Flying,Status,Clever,20,None,None,1,NN,CopyMove
120,Self-Destruct,Normal,Physical,Beautiful,5,200,100,1,NN,Selfdestruct
121,Egg Bomb,Normal,Physical,Cute,10,100,75,1,Y,N/A
122,Lick,Ghost,Physical,Cute,30,30,100,1,YNS,PRZ30
123,Smog,Poison,Special,Tough,20,30,70,1,YNS,PSN40
124,Sludge,Poison,Special,Tough,20,65,100,1,YNS,PSN30
125,Bone Club,Ground,Physical,Tough,20,65,85,1,YNS,Flinch10
126,Fire Blast,Fire,Special,Beautiful,5,110,85,1,YNS,BRN10
127,Waterfall,Water,Physical,Tough,15,80,100,1,YNS,Flinch20
128,Clamp,Water,Physical,Tough,15,35,None,1,T,Trap
129,Swift,Normal,Special,Cool,20,60,None,1,Y,N/A
130,Skull Bash,Normal,Physical,Tough,10,130,100,1,T,2Hit
131,Spike Cannon,Normal,Physical,Cool,15,20,100,1,T,Multi-Hit
132,Constrict,Normal,Physical,Tough,35,10,100,1,YNS,SpeedDrop10
133,Amnesia,Psychic,Status,Cute,20,None,None,1,Y,SpdefBoost2
134,Kinesis,Psychic,Status,Clever,15,None,80,1,N,ACCdrop
135,Soft-Boiled,Normal,Status,Cute,10,None,None,1,N,HPboost
136,High Jump Kick,Fighting,Physical,Cool,10,130,90,1,YNS,Crash
137,Glare,Normal,Status,Tough,30,None,None,1,Y,PRZ Inflict
138,Dream Eater,Psychic,Special,Clever,15,100,100,1,NN,Absorb
139,Poison Gas,Poison,Status,Clever,40,None,None,1,Y,PSN Inflict
140,Barrage,Normal,Physical,Cute,20,15,85,1,T,Multi-Hit
141,Leech Life,Bug,Physical,Clever,10,80,100,1,YNS,Absorb
142,Lovely Kiss,Normal,Status,Beautiful,10,None,75,1,Y,SLP Inflict
143,Sky Attack,Flying,Physical,Cool,5,140,90,1,T,2Turn
144,Transform,Normal,Status,Clever,10,None,None,1,NN,Misc
145,Bubble,Water,Special,Cute,30,40,100,1,YNS,SpeedDrop10
146,Dizzy Punch,Normal,Physical,Cute,10,70,100,1,YNS,Confuse20
147,Spore,Grass,Status,Beautiful,15,None,100,1,Y,SLP Inflict
148,Flash,Normal,Status,Beautiful,20,None,None,1,N,ACCdrop
149,Psywave,Psychic,Special,Clever,15,None,None,1,N,RandomPower
150,Splash,Normal,Status,Cute,40,None,None,1,Y,N/A
151,Acid Armor,Poison,Status,Tough,20,None,None,1,Y,DEFboost2
152,Crabhammer,Water,Physical,Tough,10,100,None,1,YNS,High-Crit
153,Explosion,Normal,Physical,Beautiful,5,250,100,1,NN,Selfdestruct
154,Fury Swipes,Normal,Physical,Tough,15,18,80,1,T,Multi-Hit
155,Bonemerang,Ground,Physical,Tough,10,50,90,1,T,2Hit
156,Rest,Psychic,Status,Cute,10,None,None,1,N,Self SLP Inflict
157,Rock Slide,Rock,Physical,Tough,10,75,90,1,YNS,Flinch30
158,Hyper Fang,Normal,Physical,Cool,15,80,90,1,YNS,High-Crit 
159,Sharpen,Normal,Status,Cute,30,None,None,1,Y,ATKboost
160,Conversion,Normal,Status,Beautiful,30,None,None,1,N,Can't remember lol
161,Tri Attack,Normal,Special,Beautiful,10,80,100,1,YNS,PBF10
162,Super Fang,Normal,Physical,Tough,10,None,90,1,N,HalfChip
163,Slash,Normal,Physical,Cool,20,70,100,1,YNS,High-Crit
164,Substitute,Normal,Status,Cute,10,None,None,1,NN,Unique
165,Brave Bird,Flying,Physical,Cute,15,120,100,4,Y,Recoil3
166,Sludge Bomb,Poison,Special,Tough,10,90,100,2,Y,PSN30
167,Fury Cutter,Bug,Physical,Cool,20,40,95,2,N,Consecutive
168,Dragon Breath,Dragon,Special,Cool,20,60,100,2,Y,PRZ30
169,Selfdestruct,Normal,Physical,Beauty,5,200,100,1,N,Selfdestruct
170,Hi Jump Kick,Fighting,Physical,Cool,10,130,90,1,Y,Crash
171,Headbutt,Normal,Physical,Tough,15,70,100,1,Y,Flinch30
172,Icy Wind,Ice,Special,Beauty,15,55,95,2,Y,SpeedDrop100
173,Power Whip,Grass,Physical,Beauty,10,120,85,4,Y,N/A
174,Air Slash,Flying,Special,Cool,15,75,95,4,Y,Flinch30
